bairro,regiao,municipio,ativo,padrao_predominante,categoria_urbana,perfil_socioeconomico,valor_m2_medio,faixa_valor_min,faixa_valor_max,origem_valor,potencial_valorizacao,liquidez_mercado,custo_vida_indireto,risco_urbanistico,percepcao_seguranca,observacoes
Jardim Liberdade II,Oeste,Cuiaba,TRUE,medio,consolidado,medio,4900,4200,5700,estimativa,baixo,media,medio,medio,media,Área residencial complementar com perfil urbano estável.
Jardim Manancial,Oeste,Cuiaba,TRUE,medio,consolidado,medio,4600,3900,5400,estimativa,baixo,media,medio,medio,media,"Bairro residencial tradicional, com atenção à segurança local."
Jardim Monte Líbano II,Leste,Cuiaba,TRUE,alto,consolidado,alto,7300,6100,8800,estimativa,medio,alta,alto,baixo,alta,Complemento de bairro nobre com boa liquidez.
Jardim Novo Milênio,Norte,Cuiaba,TRUE,economico,popular,baixo,2400,2000,2800,estimativa,baixo,baixa,baixo,alto,baixa,Região popular em expansão urbana.
Jardim Ouro Verde,Sul,Cuiaba,TRUE,medio,consolidado,medio,4100,3500,4800,estimativa,baixo,media,medio,medio,media,Bairro residencial com comércio local.
Jardim Planalto II,Norte,Cuiaba,TRUE,economico,popular,baixo,2200,1800,2600,estimativa,baixo,baixa,baixo,alto,baixa,Extensão de área popular com desafios urbanos.
Jardim Presidente III,Oeste,Cuiaba,TRUE,medio,consolidado,medio,5000,4300,5800,estimativa,baixo,media,medio,medio,media,Continuidade residencial com perfil urbano semelhante.
Jardim Santa Laura,Oeste,Cuiaba,TRUE,medio,consolidado,medio,4700,4000,5500,estimativa,baixo,media,medio,medio,media,Bairro residencial com conforto urbano intermediário.
Jardim São Gonçalo,Leste,Cuiaba,TRUE,medio,consolidado,medio,5200,4500,6000,estimativa,medio,media,medio,medio,media,Área residencial consolidada com boa infraestrutura.
Jardim Três Poderes,Centro,Cuiaba,TRUE,alto,consolidado,alto,7800,6500,9200,estimativa,medio,alta,alto,baixo,alta,"Região institucional valorizada, boa liquidez e previsibilidade."
Jardim União,Sul,Cuiaba,TRUE,economico,popular,baixo,2100,1700,2500,estimativa,baixo,baixa,baixo,alto,baixa,Área popular com limitações de infraestrutura.
Jardim Vitória VII,Norte,Cuiaba,TRUE,economico,popular,baixo,2400,2000,2800,estimativa,baixo,baixa,baixo,alto,baixa,Extensão popular com menor previsibilidade urbana.
